item_id,domain,trait,trait_key,framework,source,license,response_scale,keyed,key,reverse_score,text
CON-01,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I get chores and tasks done right away.
CON-02,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I like order and keep things tidy.
CON-03,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I follow a schedule and stick to plans.
CON-04,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am exacting and thorough in my work.
CON-05,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I pay close attention to details.
CON-06,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I leave my belongings lying around.
CON-07,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I make a mess of things.
CON-08,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I often forget to put things back where they belong.
CON-09,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I shirk or postpone my duties.
CON-10,Execution,Conscientiousness,conscientiousness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I waste my time instead of getting to work.
EXT-01,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I feel comfortable around people.
EXT-02,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I start conversations easily.
EXT-03,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I talk to many different people at social events.
EXT-04,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I don't mind being the center of attention.
EXT-05,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I feel energized after spending time with others.
EXT-06,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I don't talk a lot.
EXT-07,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I keep in the background.
EXT-08,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I have little to say.
EXT-09,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I prefer not to draw attention to myself.
EXT-10,Interpersonal,Extraversion,extraversion,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I am quiet around strangers.
EST-01,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I stay relaxed most of the time.
EST-02,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I seldom feel down or blue.
EST-03,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I rarely get irritated.
EST-04,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I remain calm under pressure.
EST-05,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am not easily bothered by setbacks.
EST-06,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I get stressed out easily.
EST-07,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I worry about things a lot.
EST-08,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I am easily disturbed by events around me.
EST-09,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I get upset easily.
